x,y
0,4.39
1,0.25
2,4.75
3,6.23
4,13.36
5,14.77
6,18.92
7,12.87
8,18.22
9,16.30
10,20.19
11,25.05
12,22.27
13,25.99
14,32.50
15,33.45
16,32.20
17,37.89
18,42.09
19,36.06
20,46.06
21,46.98
22,45.40
23,45.55
24,55.57
25,51.37
26,50.93
27,52.97
28,62.47
29,62.04
30,66.07
31,67.30
32,67.36
33,73.73
34,69.79
35,73.52
36,78.29
37,78.19
38,82.62
39,81.77
40,85.05
41,80.46
42,84.28
43,86.89
44,86.80
45,90.33
46,91.01
47,94.78
48,100.36
49,99.65
50,101.70
51,102.10
52,104.67
53,113.37
54,112.48
55,114.09
56,111.71
57,119.29
58,115.63
59,119.79
60,127.90
61,126.40
62,127.57
63,130.85
64,134.43
65,135.76
66,132.29
67,132.32
68,137.15
69,138.68
70,140.11
71,149.43
72,150.76
73,147.15
74,152.55
75,151.96
76,159.15
77,156.59
78,156.65
79,158.47
80,163.61
81,162.63
82,167.85
83,172.98
84,169.99
85,170.19
86,179.98
87,177.10
88,174.91
89,176.47
90,179.10
91,186.27
92,189.92
93,188.22
94,186.64
95,191.82
96,199.96
97,197.29
98,203.71
99,204.61
